number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
7294,Никольское кладбище,1,"Могила Ирецкой Н.А. (1845-1922), певицы и педагога",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8248
7295,Никольское кладбище,1,"Могила Казанли Н.И. (1869-1916), композитора и дирижера",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8249
7296,Никольское кладбище,1,"Могила Ковалевского М.М. (1851-1916), этнографа и социолога",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8251
7297,Никольское кладбище,1,"Могила Кокшарова Н.И. (1818-1893), минералога",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8252
7298,Никольское кладбище,1,"Могила Кондратенко Р.И. (1857-1904), генерала, героя обороны Порт-Артура",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8253
7299,Никольское кладбище,1,"Могила Коржинского С.И. (1861-1900), ботаника",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8254
7300,Никольское кладбище,1,"Могила Костычева П.А. (1845-1895), почвоведа",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8255
7301,Никольское кладбище,1,"Могила Котляревского Н.А. (1863-1925), литературоведа",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8256
7302,Никольское кладбище,1,"Могила Кояловича М.О. (1828-1891), историка",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8257
7303,Никольское кладбище,1,"Могила Малоземовой С.А. (1845-1908), пианистки и педагога",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8258
7304,Никольское кладбище,1,"Могила Мациевича Л.М. (1877-1910), инженера и авиатора",1912,1900-1949,Фомин И.А,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8259
7305,Никольское кладбище,1,"Могила Микешина М.О. (1835-1896), художника",2000,2000-2049,Микешин Б.М,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8260
7306,Никольское кладбище,1,"Могила Николаева А.П. (1860-1919), военного деятеля",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8261
7307,Никольское кладбище,1,"Могила Обухова П.М. (1820-1869), металлурга",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8262
7308,Никольское кладбище,1,"Могила Пестича Ф.В. (1821-1894), ученого-артиллериста",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8263
7309,Никольское кладбище,1,"Могила Пешковой-Толиверовой А.Н. (1842-1920), писательницы",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8264
7310,Никольское кладбище,1,"Могила Преснякова А.Е., историка",1931,1900-1949,Манизер М.Г,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8266
7311,Никольское кладбище,1,"Могила Советова А.В., ученого-агронома",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8267
7312,Никольское кладбище,1,"Могила Соловьева Н.Ф. (1846-1916), композитора и педагога",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8268
7313,Никольское кладбище,1,"Могила Тураева Б.А. (1868-1920), востоковеда",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8269
7314,Никольское кладбище,1,"Могила Уточкина С.И. (1876-1916), летчика",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8270
7315,Никольское кладбище,1,"Могила Ходнева А.И., биохимика",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8271
7316,Никольское кладбище,1,"Могила Чиколева В.Н. (1845-1898), электротехника",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8272
7317,Никольское кладбище,1,"Могила Шубинского С.Н., историка и издателя",1915,1900-1949,Гинцбург И.Я.;Киселис Ю,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8273
7318,Никольское кладбище,1,"Могила Щеголева П.Е., историка и литературоведа",NA,,,"Монастырки р. наб., 1, Александро-Невская лавра, Никольское кладбище",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8274
7319,Кладбище Никольское,1,Ограда,1900,1900-1949,,"Монастырки р. наб., 1-а (восточный двор)",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8275
7320,Кладбище Никольское,1,Ограда с воротами,1900,1900-1949,,"Монастырки р. наб., 1-а (восточный двор)",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8276
7321,Александро-Невская Лавра,1,Корпус Духовской,1717,1700-1749,Трезини Д.;Петров В.П,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8372
7322,Александро-Невская Лавра,1,Корпус митрополичий с двумя башнями,1740,1700-1749,Расторгуев М.Д.;Росси И.Л.;Трезини П.А.;Горностаев А.М.;Карпов Г.И.;Шишков Л.П,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8373
7323,Александро-Невская Лавра,1,Корпус просфорный с северными воротами главного двора,1740,1700-1749,Расторгуев М.Д.;Росси И.Л.;Трезини П.А.;Комаров А.З,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8374
7324,Александро-Невская Лавра,1,Корпус семинарский с южными воротами главного двора,1740,1700-1749,Трезини П.А.;Росси И.Л.;Расторгуев М.Д,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8375
7325,Александро-Невская Лавра,1,Корпус Федоровский,1725,1700-1749,Швертфегер Т.;Трезини П.А,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8376
7326,Александро-Невская Лавра,1,Митрополичий сад,1800,1800-1849,Трезини П.А.;Швертфегер Т.;Гарцын Ю.;Шульц И.;Руднева О.И,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8377
7327,Александро-Невская Лавра,1,Сад главного двора,1790,1750-1799,,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8409
7328,Александро-Невская Лавра,1,Собор Троицкий с двумя соединительными флигелями,1776,1750-1799,Старов И.Е.;Шубин Ф.И,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8410
7329,Александро-Невская Лавра,1,"Церковь Благовещения Пресвятой Богородицы с усыпальницей. Здесь похоронен Суворов А.В. (1729-1800), полководец",1717,1700-1749,Трезини Д.;Расторгуев М.Д.;Росси И.Л,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8411
7330,Александро-Невская Лавра,1,Церковь преподобного Исидора Пелусиота,1890,1850-1899,Карпов Г.И,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8413
7331,Александро-Невская Лавра,1,Церковь святого князя Феодора Новгородского,1741,1700-1749,Трезини П.А.;Росси И.Л.;Расторгуев М.Д,"Монастырки р. наб., 1",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8414
7332,Александро-Невская Лавра,1,Контора кладбищенская и архиерейская гостиница,1900,1900-1949,Андреев Л.П,"Монастырки р. наб., 1-а (восточный двор)",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8371
7333,Александро-Невская Лавра,1,Подпорная стена восточного двора,1900,1900-1949,,"Монастырки р. наб., 1-а (восточный двор)",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8407
7334,Александро-Невская Лавра,1,"Ризница, библиотека и архив",1904,1900-1949,Шишко Л.П,"Монастырки р. наб., 1-а (восточный двор)",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8408
7335,Александро-Невская Лавра,1,Некрополь,NA,,,"Монастырки р. наб., 1; Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8378
7336,Некрополь,1,"Могила Аствацатурова М.И. (1877-1936), невропатолога",NA,,,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8382
7337,Некрополь,1,"Могила Гинтера Л.Л. (1876-1932), теплофикатора",NA,,,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8384
7338,Некрополь,1,"Могила Грекова И.И. (1867-1934), хирурга",1930,1900-1949,Крестовский И.В.;Тотес,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8385
7339,Некрополь,1,"Могила Ивашенцова Г.А. (1883-1933), врача-инфекциониста",1934,1900-1949,Шервуд Л.В,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8391
7340,Некрополь,1,"Могила Марра Н.Я. (1864-1934), лингвиста и археолога",NA,,,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8398
7341,Некрополь,1,"Могила Рахьи Э.А. (1885-1936), финского революционера",NA,,,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8403
7342,Некрополь,1,"Могила Федорова С.П. (1869-1936), хирурга",1958,1950-1999,Вальцман Н.Ф.;Далиненко А.И.;Татарович В.И.;Ястребенецкий Г.Д,"Монастырки р. наб. 1, Александро-Невская лавра, Коммунистическая площадка",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8405
7343,Александро-Невская Лавра,1,Дом жилой,1789,1750-1799,Старов И.Е.;Кириллов Е,"Невский пр., 177",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8181
7344,Александро-Невская Лавра,1,Церковь Тихвинская,1868,1850-1899,Гребенка Н.П,"Невский пр., 179-а",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8368
7345,Церковь Тихвинская,1,Ограда,1868,1850-1899,Гребенка Н.П,"Невский пр., 179-а",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8369
7346,Церковь Тихвинская,1,Церковь,1868,1850-1899,Гребенка Н.П,"Невский пр., 179-а",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8370
7347,Александро-Невская Лавра,1,Дом жилой,1789,1750-1799,Старов И.Е.;Комаров А.З.;Карпов Г.И,"Невский пр., 190",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8182
7348,Александро-Невская Лавра,1,Богадельня,1788,1750-1799,Старов И.Е,"Чернорецкий пер., 2",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8179
7349,Александро-Невская Лавра,1,Дом жилой,1823,1800-1849,Петров В.П.;Карпов Г.И,"Чернорецкий пер., 8",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8183
7350,,0,Дом В.В. Корелина,1810,1800-1849,А.Л. Лишневский,"Апраксин пер., 4",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9305
7351,,0,Здание купеческой гостиницы М.А. Александрова,1902,1900-1949,Ф.И. Лидваль,"Апраксин пер., 6",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9306
7352,,0,Торговые ряды,1790,1750-1799,Н.Ф. Монтандр;И.Н. Иванов;И.П. Макаров,"Аптекарский пер., 5; Круглый пер., 1-3",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9307
7353,,0,Особняк С.П. Ягужинского,1770,1750-1799,,"Аптекарский пер., 6, лит. Б",Центральный,2,1,Распоряжение КГИОП № 10-31 от 14.10.2009,9636
7354,,0,Центральная электростанция городского трамвая с водокачальней,1906,1900-1949,Зазерский А.И.;Горенбера Л.Б,"Атаманская ул., 3/6 (б. ул. Красного электрика)",Центральный,2,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,8419
7355,,0,Комплекс зданий Дамского попечительного о тюрьмах комитета,1880,1850-1899,С.А. Поленов;Н.А. Курвуазье;К.Ф. Карпович;В.И. Токарев,"Атаманская ул., 3; Кременчугская ул., 6",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9313
7356,Комплекс зданий Дамского попечительного о тюрьмах комитета,1,Здание Евгеньевского приюта для арестанских детей,1881,1850-1899,В.И. Токарев,"Атаманская ул., 3; Кременчугская ул., 6, корп. 15, лит. К",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9315
7357,Комплекс зданий Дамского попечительного о тюрьмах комитета,1,"Здание Убежища для женщин, выходящих из мест заключения, им. принцессы Е.М. Ольденбургской",1882,1850-1899,С.А. Поленов;Н.А. Курвуазье;К.Ф. Карпович,"Атаманская ул., 3; Кременчугская ул., 6, корп. 3, лит. К",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9314
7358,,0,Дом М.Б. Кварта,1910,1900-1949,М.Б. Кварт,"Бакунина пр., 4; Советская 3-я ул., 21",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9316
7359,,0,Особняк Н.М. Полежаева,1877,1850-1899,Ф.Л. Миллер,"Бакунина пр., 8, лит. А, пом. 1-Н, 2-Н, 3-Н, 4-Н, 5-Н, 6-Н, 7-Н",Центральный,2,1,Распоряжение КГИОП № 12-р от 19.01.2018,9318
7360,,0,Малый Гостиный Двор,1790,1750-1799,А.С. Лыткин;А.В. Иванов;Г.Г. Голи;В. Соколов;Н.И. Котович;А.И. Ковшаров;А.М. Ливен;В.К. Вейс;С.В. Баниге;А.А. Оль,"Банковский пер., 3, лит. Б; Москательный пер., 4, лит. В; Мучной пер., 2, лит. Г; Садовая ул., 25, лит. А; Грибоедова кан. наб., 34, лит. А; Садовая ул., 23/6, лит. А; Садовая ул., 21а, лит. Б",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9322
7361,Малый Гостиный Двор,1,Железо-красочные ряды,1780,1750-1799,А.В. Иванов;М.И. Катин ;А.С.;Лыткин;Ф.И. Лидваль;А.И. Оприц;С.Ф. Кириллов;Н.И. Котов,"Банковский пер., 3, лит. Б; Москательный пер., 4, лит. В",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9323
7362,Малый Гостиный Двор,1,Железо-красочные ряды Банковского переулка,1800,1800-1849,И.Н. Иорс;П.Л. СпокойскийФранцевич;В. Парфененков,"Банковский пер., 4, лит. А; Садовая ул., 23/6, лит. А",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9327
7363,Малый Гостиный Двор,1,"Дом графини Марии Александровны Стенбок (Товарищества Российско-Американской Резиновой мануфактуры ""Треугольник"")",1780,1750-1799,В.А. Шретер;В.Ю. Иогансен,"Грибоедова кан. наб. 34, лит. А",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9326
7364,Малый Гостиный Двор,1,Большой железный ряд или Кожевенная линия,1770,1750-1799,А.М. Ливен;А.А. Оль;А.А. Поликарпов;А.И. Ковшаров;С.В. Баниге;А.С. Лыткин,"Мучной пер., 2, лит. Г",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9324
7365,Малый Гостиный Двор,1,Дом И.А. Алферова (контора завода Эд. Эд. Новицкого),1903,1900-1949,В.В. Шауб,"Садовая ул., 21а, лит. Б",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9329
7366,Малый Гостиный Двор,1,"Торговый дом ""Наследники П.Т.Иванова""",1914,1900-1949,В.И. Бахминский,"Садовая ул., 23/6, лит. А",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9328
7367,Малый Гостиный Двор,1,Дом Николаевых,1770,1750-1799,Г.И. Люцедарский;В.Ф. Лисовский;П.Н.;Волков;А.С. Лыткин;А.И. Ржепишевский;К. Никифоров;А. Зазерский;И. Артемьев;Д. Кремпанов;Н.Павлов,"Садовая ул., 25, лит. А",Центральный,2,1,Распоряжение КГИОП № 1282-рп от 11.10.2024,9325
7368,,0,Дом Л.К. фон Таубе,1900,1900-1949,,"Басков пер., 12",Центральный,2,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,8423
7369,,0,"Доходный дом страхового общества ""Россия""",1903,1900-1949,А.А. Гимпель,"Басков пер., 13, 15; Маяковского ул., 21; Некрасова ул., 20",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9332
7370,,0,Здание штаба второго корпуса ПВО,1937,1900-1949,Д.П. Бурышкин,"Басков пер., 16, лит. А",Центральный,2,1,Распоряжение КГИОП № 1-р от 09.01.2018,9333
7371,,0,Дом И.С. Мальцева,1906,1900-1949,А.И. Ковшаров,"Басков пер., 41/29, лит. А",Центральный,2,1,Распоряжение КГИОП № 402-рп от 07.10.2022; Распоряжение КГИОП № 292-рп от 12.03.2024,9334
7372,,0,Дом А.И. Ерошенко,1903,1900-1949,Ф.Ф. Постельс,"Басков пер., 5, лит. А",Центральный,2,1,Распоряжение КГИОП № 11-рп от 19.05.2021; Распоряжение КГИОП № 435-рп от 10.04.2024,9330
7373,,0,Здание женской гимназии кн. Оболенской,1899,1850-1899,Г.В. Барановский;Г.Л. Кононов,"Басков пер., 8",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9331
7374,,0,Дом А.Ф. Шмюкинга,1912,1900-1949,А.Л. Лишневский,"Белинского ул., 11, лит. А",Центральный,2,1,Распоряжение КГИОП № 10-33 от 20.10.2009,9337
7375,,0,Дом Ш.З. Иофа,1820,1800-1849,М.Б. Вебель;А.Л. Лишневский,"Белинского ул., 13, лит. А",Центральный,2,1,Распоряжение КГИОП № 403-рп от 07.10.2022; Распоряжение КГИОП № 293-рп от 12.03.2024,9338
7376,,0,Дом Н.А. и С.А. Латониных,1800,1800-1849,И.П. Володихин,"Белинского ул., 5, лит. А",Центральный,2,1,Распоряжение КГИОП № 10-33 от 20.10.2009,9335
7377,,0,Дом А.С. Гедике (с 1849 г. дом причта церкви св. Симеония и Анны),1800,1800-1849,А.Х. Пель ?,"Белинского ул., 6",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9336
7378,,0,Дом Корсаковых (Я.Ф. Сахара),1841,1800-1849,Г.А. Боссе;М.А. Сонгайло,"Большая Конюшенная ул., 17, лит. А",Центральный,2,1,Распоряжение КГИОП № 10-33 от 20.10.2009,9533
7379,,0,Торговый дом Гвардейского экономического общества (4 лицевых дома с флигелями),1908,1900-1949,Виррих Э.Ф.;Балбашевский И.Л,"Большая Конюшенная ул., 21-23; Волынский пер., 1-3; Мойки р. наб., 36",Центральный,2,3,Приказ Минкульта РФ № 1155 от 06.07.2022,8428
7380,,0,Дом французской реформатской церкви с дворовыми флигелями,1770,1750-1799,Фельтен Ю.М.;Дютель Ю.О,"Большая Конюшенная ул., 25",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8429
7381,,0,Доходные дома фон Дервиза П.П. (великих князей Бориса и Кирилла Владимировичей),2000,2000-2049,,"Большая Конюшенная ул., 27; Мойки р. наб., 40",Центральный,2,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,8430
7382,Доходные дома фон Дервиза П.П. (великих князей Бориса и Кирилла Владимировичей),1,Дом по Большой Конюшенной ул. с флигелями,1796,1750-1799,Кирилов А.С.;Андерсон К.К.;Красовский А.Ф,"Большая Конюшенная ул., 27",Центральный,2,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,8431
7383,Доходные дома фон Дервиза П.П. (великих князей Бориса и Кирилла Владимировичей),1,Дом по наб. р. Мойки с флигелями,1833,1800-1849,Цолликофер Г.Р.;Красовский А.Ф.;Алексеев Н.И,"Мойки р. наб., 40",Центральный,2,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,8432
7384,,0,Дома Евангелической лютеранской церкви св. Марии,1800,1800-1849,Г.А. Боссе;Ф.Б. Нагель,"Большая Конюшенная ул., 4-6-8, лит. Б, В",Центральный,2,1,Распоряжение КГИОП № 94-р от 05.03.2018,9524
7385,,0,Церковь финская Святой Марии,1803,1800-1849,Паульсен Г.Х.;Андерсон К.К,"Большая Конюшенная ул., 8",Центральный,2,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,8426
7386,,0,"Дом, где в 1890-1918 гг. жил экономист Даниельсон Н.Ф",1847,1800-1849,Боссе Г.А,"Большая Конюшенная ул., 8",Центральный,2,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,8427
7387,,0,Особняк Т.Э.Сильванской (В.А.Слепцова),1790,1750-1799,Л.Л. Фуфаевский,"Большая Конюшенная ул., 9, лит. А",Центральный,2,1,Распоряжение КГИОП № 120-р от 19.03.2018,9527
7388,,0,Дом И.В. Кошанского (А.М. Сомова). Здесь с 1927 г. по 1940 г. жил и работал выдающийся ленинградский зодчий Ной Абрамович Троцкий,1838,1800-1849,И.М. Маевский;К.И. Реймерс;С.Е. Зарин,"Большая Конюшенная ул., д. 15, лит. А",Центральный,2,1,Распоряжение КГИОП № 243-р от 18.05.2017,9532
7389,,0,Дом М.Н. и Н.А. Мельцеров,1904,1900-1949,Ф.И. Лидваль,"Большая Конюшенная ул., д. 19/8, лит. А",Центральный,2,1,Распоряжение КГИОП № 215-р от 05.05.2017,9534
7390,,0,Доходный дом М.И. Пущина,1840,1800-1849,Б.Б. Гейденрейх;Ф.И. Руска,"Большая Конюшенная ул., д. 5, лит. А",Центральный,2,1,Распоряжение КГИОП № 266-р от 25.05.2017,9683
7391,,0,Дом П.П. Жако,1837,1800-1849,П.П. Жако,"Большая Морская ул., 11; Кирпичный пер., 6",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9694
7392,,0,Дом Чичерина Н.И. (Елисеевых) с домом Косиковского А.И,1768,1750-1799,Гребенка Н.П;Стасов В.П,"Большая Морская ул., 14, лит. А",Центральный,2,1,Постановление Губернатора Санкт-Петербурга № 83-пг от 21.11.2006,8910
7393,,0,Бывш. Русский торговый банк,1912,1900-1949,Перетяткович М.М.;Дитрих Л.А.;Козлов В.В,"Большая Морская ул., 15 (б. ул. Герцена)",Центральный,2,1,Решение исполкома Ленгорсовета № 891 от 16.11.1970,8434
7394,,0,Дом. Здесь в конце 1906 г. проходили заседания ЦК и ПК РСДРП,NA,,,"Большая Морская ул., 16; Кирпичный пер., 8",Центральный,2,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,8435
7395,,0,"Дом французского общества страхования жизни ""Урбэн""",1810,1800-1849,Егоров;Воротилов Е.С,"Большая Морская ул., 17",Центральный,2,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,8436
7396,,0,Здание Русского банка для внешней торговли (здание Текстильного института),1915,1900-1949,Л.Н. Бенуа;Ф.И. Лидваль;Л.В. Руднев;Я.О. Свирский,"Большая Морская ул., 18, лит. А",Центральный,2,1,Распоряжение КГИОП № 1323-рп от 28.10.2024,9695
7397,,0,"Дом И. Альбрехта (А. Н. Свистунова, Г. Ф. Эйлерса)",1742,1700-1749,В.П. Стасов;В.А. Шретер,"Большая Морская ул., 19, лит. А",Центральный,2,1,Распоряжение КГИОП № 116-р от 08.04.2020,9696
7398,,0,Дом И. Жадимировского (К.А. Тура),1750,1750-1799,К.Б. Растрелли ;Е.А. Тур,"Большая Морская ул., 21",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9697
7399,,0,Дом Обер-полицмейстера (телефонная станция),1844,1800-1849,Н.Е. Ефимов;К.В. Бальди,"Большая Морская ул., 22",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9698
7400,,0,Дом ювелирной фирмы К.Г.Фаберже,1899,1850-1899,Шмидт К.К,"Большая Морская ул., 24",Центральный,2,1,Распоряжение Губернатора Санкт-Петербурга № 228-р от 06.03.2000,8437
7401,,0,Азовско-Донской коммерческий банк,1908,1900-1949,Лидваль Ф.И.;Кузнецов В.В,"Большая Морская ул., 3-5",Центральный,2,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,8433
7402,,0,"Дом К.К. Фелейзена (гостиница ""Франция"")",1880,1850-1899,Ф.Л. Миллер,"Большая Морская ул., 6; Мойки р. наб., 51 (дом по Большой Морской ул.)",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9690
7403,,0,Дома Е.Т. Кудрявцевой,1810,1800-1849,Л.Ф. Бульери;Н.Г. Кудрявцев,"Большая Морская ул., 8; Мойки р. наб., 53",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9691
7404,Дома Е.Т. Кудрявцевой,1,Дом по Большой Морской улице,1810,1800-1849,Л.Ф. Бульери;Н.Г. Кудрявцев,"Большая Морская ул., 8; Мойки р. наб., 53",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9692
7405,Дома Е.Т. Кудрявцевой,1,Дом по набережной Мойки,1910,1900-1949,Н.Г. Кудрявцев,"Большая Морская ул., 8; Мойки р. наб., 53",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9693
7406,,0,"Станция метро ""Владимирская"" (с перронным залом)",1955,1950-1999,Г.И. Александров;А.В. Жук;А.И. Прибульский,"Большая Московская ул., 2/1, лит. А",Центральный,2,1,Распоряжение КГИОП № 10-4 от 10.01.2012,9701
7407,,0,"Дом, где в 1861-1862 гг. жил писатель и литературный критик Чернышевский Н.Г",NA,,,"Большая Московская ул., 6",Центральный,2,3,Постановление Правительства РФ № 527 от 10.07.2001,8438
7408,,0,Здание Общества инженеров путей сообщения,1912,1900-1949,А.А. Барышников,"Бородинская ул., 6",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9339
7409,,0,Дом А.Г. Романова,1904,1900-1949,П.Я. Коленда,"Виленский пер., 3",Центральный,2,2,Приказ председателя КГИОП № 15 от 20.02.2001,9340
